path_index,transmitter,receiver,path_type,interaction_count,distance_m,delay_s,amplitude_magnitude,interaction_types,interaction_object_ids,interaction_object_names,interaction_points_m
17,tx_test,rx_los,specular_reflection,2,12.526527610414107,4.178399848342451e-08,0.00016387875200599806,"[1, 1]","[5, 2]","[""wall_002"", ""ceiling_000""]","[[-4.9864301681518555, -10.78183364868164, 2.7861313819885254], [-4.8394012451171875, -10.349839210510254, 2.8317809104919434]]"
18,tx_test,rx_los,specular_reflection,2,23.573248212446103,7.86318921086604e-08,0.0001449936135391436,"[1, 1]","[4, 5]","[""wall_001"", ""wall_002""]","[[-15.22197151184082, -9.46096420288086, 2.153646945953369], [-12.91124153137207, -10.823062896728516, 2.1556127071380615]]"
19,tx_test,rx_los,specular_reflection,2,10.664394255526773,3.557259020681158e-08,0.00015781598431711873,"[1, 1]","[3, 2]","[""wall_000"", ""ceiling_000""]","[[-5.30476188659668, -0.12052591145038605, 2.0252084732055664], [-5.001776695251465, -0.7391522526741028, 2.2053418159484863]]"
20,tx_test,rx_los,specular_reflection,2,21.826038770800153,7.28038287434174e-08,9.129593349592304e-05,"[1, 1]","[5, 3]","[""wall_002"", ""wall_000""]","[[-6.0548319816589355, -10.840926170349121, 1.7603166103363037], [-4.337528705596924, -0.15191586315631866, 1.0200848579406738]]"
21,tx_test,rx_los,specular_reflection,2,15.58205392014058,5.197613717200511e-08,0.00021620308296155393,"[1, 1]","[5, 6]","[""wall_002"", ""wall_003""]","[[-1.8978161811828613, -10.84786605834961, 1.5890252590179443], [0.13946600258350372, -8.517640113830566, 1.3589565753936768]]"
22,tx_test,rx_los,specular_reflection,2,26.561514924378343,8.859967692842474e-08,7.159279839012548e-05,"[1, 1]","[4, 6]","[""wall_001"", ""wall_003""]","[[-15.149900436401367, -4.784499168395996, 1.797425627708435], [0.10885023325681686, -4.943587779998779, 1.1433405876159668]]"
23,tx_test,rx_los,specular_reflection,2,14.261405593259397,4.7570928529694356e-08,0.00023409568503920966,"[1, 1]","[3, 6]","[""wall_000"", ""wall_003""]","[[-2.4062178134918213, -0.060160860419273376, 0.8532022833824158], [0.08106201142072678, -2.22745680809021, 0.9220231175422668]]"
24,tx_test,rx_los,specular_reflection,2,21.98670134069515,7.333974139100974e-08,0.00016393734421357454,"[1, 1]","[4, 3]","[""wall_001"", ""wall_000""]","[[-15.085762977600098, -0.740731954574585, 1.5352156162261963], [-14.985711097717285, -0.692415714263916, 1.5277581214904785]]"
25,tx_test,rx_los,specular_reflection,2,12.687614080862105,4.2321325111061014e-08,0.00010689026673978269,"[1, 1]","[5, 1]","[""wall_002"", ""floor_000""]","[[-5.023017406463623, -10.91028881072998, 0.5290826559066772], [-4.829901695251465, -10.344941139221191, 0.3686411380767822]]"
26,tx_test,rx_los,specular_reflection,2,21.589302027792712,7.201415996860305e-08,9.217179231278409e-05,"[1, 1]","[3, 5]","[""wall_000"", ""wall_002""]","[[-6.513481616973877, -0.26997026801109314, 1.033231496810913], [-4.243950843811035, -10.839605331420898, 1.7620313167572021]]"
0,tx_test,rx_reflection,specular_reflection,2,24.065477700316194,8.027379294617276e-08,8.095604278307933e-05,"[1, 1]","[5, 3]","[""wall_002"", ""wall_000""]","[[-7.93472957611084, -10.846149444580078, 1.6908237934112549], [-9.615099906921387, -0.45547106862068176, 0.846730649471283]]"
1,tx_test,rx_reflection,specular_reflection,2,12.89258171408322,4.30050235422641e-08,0.0001341107656586738,"[1, 1]","[3, 2]","[""wall_000"", ""ceiling_000""]","[[-8.455525398254395, -0.2983023524284363, 1.9628102779388428], [-8.71476936340332, -1.5897610187530518, 2.307403564453125]]"
2,tx_test,rx_reflection,specular_reflection,2,19.336896853723275,6.450094502952197e-08,0.00017771217625191533,"[1, 1]","[6, 5]","[""wall_003"", ""wall_002""]","[[0.10953281819820404, -8.55058479309082, 0.9769738912582397], [-4.42941951751709, -10.862748146057129, 1.3575282096862793]]"
3,tx_test,rx_reflection,specular_reflection,2,16.06484363263062,5.358655030818227e-08,0.00021180270684230615,"[1, 1]","[4, 5]","[""wall_001"", ""wall_002""]","[[-15.242688179016113, -10.149541854858398, 1.951446294784546], [-14.22652816772461, -10.836970329284668, 1.926815152168274]]"
4,tx_test,rx_reflection,specular_reflection,2,17.80062586565053,5.9376496608365414e-08,0.0001976090374202224,"[1, 1]","[3, 4]","[""wall_000"", ""wall_001""]","[[-12.79474925994873, -0.5996527671813965, 1.2034668922424316], [-15.128357887268066, -2.8049731254577637, 1.4207159280776978]]"
5,tx_test,rx_reflection,specular_reflection,2,17.764063910415686,5.925453905319955e-08,0.00010158638169578567,"[1, 1]","[6, 2]","[""wall_003"", ""ceiling_000""]","[[0.16916970908641815, -6.128893852233887, 1.8523461818695068], [-3.279834270477295, -6.710394859313965, 2.574282169342041]]"
6,tx_test,rx_reflection,specular_reflection,2,33.701101526316066,1.124147743780668e-07,5.7024529706883725e-05,"[1, 1]","[4, 6]","[""wall_001"", ""wall_003""]","[[-15.170434951782227, -5.482426643371582, 1.604162573814392], [0.07271237671375275, -6.950380802154541, 0.5867230892181396]]"
7,tx_test,rx_reflection,specular_reflection,2,21.565491171604464,7.193473550159979e-08,0.00015511578544467013,"[1, 1]","[3, 6]","[""wall_000"", ""wall_003""]","[[-1.1671761274337769, -0.028243903070688248, 0.4250379502773285], [0.03247835859656334, -0.8634689450263977, 0.37082499265670776]]"
8,tx_test,rx_reflection,specular_reflection,2,21.61363903190353,7.209533947616364e-08,0.00015480692399752734,"[1, 1]","[6, 3]","[""wall_003"", ""wall_000""]","[[0.02645576186478138, -0.19395652413368225, 0.32678139209747314], [-0.2833981513977051, 0.011699832044541836, 0.324319064617157]]"
9,tx_test,rx_reflection,specular_reflection,2,27.79829484637102,9.272513068481203e-08,6.954157114845926e-05,"[1, 1]","[6, 4]","[""wall_003"", ""wall_001""]","[[0.08286535739898682, -5.6822052001953125, 0.7772871255874634], [-15.20252799987793, -7.266788482666016, 1.6243157386779785]]"
10,tx_test,rx_reflection,specular_reflection,2,13.981182830959149,4.6636206008088266e-08,0.0001189684490335654,"[1, 1]","[1, 4]","[""floor_000"", ""wall_001""]","[[-13.305315971374512, -6.356205463409424, 0.3491781949996948], [-15.226805686950684, -6.7481369972229, 0.7715328931808472]]"
11,tx_test,rx_reflection,specular_reflection,2,18.292491097266534,6.101718241779963e-08,0.00010781414360521242,"[1, 1]","[3, 5]","[""wall_000"", ""wall_002""]","[[-8.166478157043457, -0.36292773485183716, 1.0041900873184204], [-9.60529613494873, -10.849654197692871, 1.6490672826766968]]"
12,tx_test,rx_reflection,specular_reflection,2,9.554506514398817,3.187040320540291e-08,0.00010308419118535031,"[1, 1]","[1, 5]","[""floor_000"", ""wall_002""]","[[-8.497478485107422, -9.341845512390137, 0.3819758892059326], [-9.030782699584961, -10.892162322998047, 0.8952035307884216]]"
13,tx_test,rx_reflection,specular_reflection,2,12.797367046402918,4.268742159752037e-08,0.00017114657836246147,"[1, 1]","[3, 1]","[""wall_000"", ""floor_000""]","[[-8.491324424743652, -0.45389416813850403, 0.13226933777332306], [-8.514907836914062, -0.5708277225494385, 0.11822344362735748]]"
14,tx_test,rx_reflection,specular_reflection,2,6.427525269495504,2.1439916508825263e-08,0.00018033215315764171,"[1, 1]","[1, 2]","[""floor_000"", ""ceiling_000""]","[[-7.791722297668457, -5.7919745445251465, 0.26676928997039795], [-9.206140518188477, -7.121222019195557, 2.675266981124878]]"
15,tx_test,rx_reflection,los,0,4.242640370758862,1.415192496523332e-08,0.0023429517168551683,[],[],[],[]
16,tx_test,rx_reflection,specular_reflection,1,4.7951076715719125,1.5994757518456026e-08,0.00019170139014987322,[1],[2],"[""ceiling_000""]","[[-8.330410957336426, -6.271772861480713, 2.608766555786133]]"
17,tx_test,rx_reflection,specular_reflection,2,6.159590297848496,2.0546181644931494e-08,0.0001705356068164596,"[1, 1]","[2, 1]","[""ceiling_000"", ""floor_000""]","[[-7.653885364532471, -5.580516338348389, 2.5551021099090576], [-9.239479064941406, -7.24288272857666, 0.32761383056640625]]"
18,tx_test,rx_reflection,specular_reflection,2,9.483178323357173,3.163247797033364e-08,0.00012874530574739362,"[1, 1]","[2, 5]","[""ceiling_000"", ""wall_002""]","[[-8.300248146057129, -8.74202823638916, 2.7699263095855713], [-9.007109642028809, -10.80789852142334, 2.3757753372192383]]"
19,tx_test,rx_reflection,specular_reflection,2,17.78418534068534,5.932165692001945e-08,8.876051300552097e-05,"[1, 1]","[2, 6]","[""ceiling_000"", ""wall_003""]","[[-2.144660234451294, -5.729025840759277, 2.495910167694092], [0.18147724866867065, -6.143369197845459, 2.008044719696045]]"
20,tx_test,rx_reflection,specular_reflection,2,13.856769083729695,4.622120641784022e-08,0.00016526001384703547,"[1, 1]","[2, 4]","[""ceiling_000"", ""wall_001""]","[[-13.911712646484375, -6.384878158569336, 2.6859679222106934], [-15.155006408691406, -6.656614303588867, 2.538475751876831]]"
21,tx_test,rx_reflection,specular_reflection,1,9.205616122819237,3.070663012749719e-08,0.0005059417623332329,[1],[5],"[""wall_002""]","[[-9.01341724395752, -10.8453369140625, 1.717896580696106]]"
22,tx_test,rx_reflection,specular_reflection,1,12.662245017364704,4.2236703023945665e-08,0.00035752739737915986,[1],[3],"[""wall_000""]","[[-8.471063613891602, -0.37868043780326843, 1.0152324438095093]]"
23,tx_test,rx_reflection,specular_reflection,1,13.71879690926476,4.576098078246105e-08,0.0003275160371224042,[1],[4],"[""wall_001""]","[[-15.187238693237305, -6.712756156921387, 1.752259373664856]]"
24,tx_test,rx_reflection,specular_reflection,1,17.49114011919515,5.834416327843428e-08,0.00025339134074789393,[1],[6],"[""wall_003""]","[[0.0901648998260498, -6.206864833831787, 0.8445872664451599]]"
25,tx_test,rx_reflection,specular_reflection,1,4.875647179027229,1.6263408397776402e-08,0.0002472750380730509,[1],[1],"[""floor_000""]","[[-8.592646598815918, -6.614501476287842, 0.30102720856666565]]"
