x_m,y_m,z_m,baseline_db,variant_db,delta_db,is_inside,is_valid_baseline,is_valid_variant,is_common_valid
-10.314044952392578,-7.918306350708008,1.5,-60.195112208653896,-60.65642688178133,-0.4613146731274327,True,True,True,True
-9.314044952392578,-7.918306350708008,1.5,-60.295750731178785,-60.93228654819565,-0.6365358170168633,True,True,True,True
-8.314044952392578,-7.918306350708008,1.5,-59.43225490412449,-59.82110860882845,-0.38885370470396197,True,True,True,True
-7.314044952392578,-7.918306350708008,1.5,-58.27242883968736,-58.62681539335675,-0.35438655366939287,True,True,True,True
-6.314044952392578,-7.918306350708008,1.5,-58.485213398794954,-58.939036376680804,-0.45382297788584935,True,True,True,True
-5.314044952392578,-7.918306350708008,1.5,-58.80590142661113,-59.22822034894984,-0.42231892233871093,True,True,True,True
-4.314044952392578,-7.918306350708008,1.5,-60.093490112859634,-61.429484735230766,-1.3359946223711319,True,True,True,True
-3.314044952392578,-7.918306350708008,1.5,-60.95383809441049,-62.469065764226386,-1.5152276698158929,True,True,True,True
-2.314044952392578,-7.918306350708008,1.5,-60.771080404627575,-62.14243838785919,-1.3713579832316114,True,True,True,True
-1.3140449523925781,-7.918306350708008,1.5,-59.84394417185449,-61.1698814576322,-1.3259372857777123,True,True,True,True
-0.3140449523925781,-7.918306350708008,1.5,-60.28506749348897,-62.3822673918247,-2.097199898335731,True,True,True,True
-14.314044952392578,-6.918306350708008,1.5,-59.708298978542835,-60.04978273245305,-0.341483753910218,True,True,True,True
-13.314044952392578,-6.918306350708008,1.5,-60.87991202550603,-61.170724408732326,-0.2908123832262959,True,True,True,True
-12.314044952392578,-6.918306350708008,1.5,-61.063520918120844,-61.554612015526814,-0.49109109740597034,True,True,True,True
-11.314044952392578,-6.918306350708008,1.5,-60.24002639863514,-61.43541057665237,-1.1953841780172354,True,True,True,True
-10.314044952392578,-6.918306350708008,1.5,-59.71760266027947,-60.54816472560316,-0.83056206532369,True,True,True,True
-9.314044952392578,-6.918306350708008,1.5,-58.8114199840592,-59.31847512521503,-0.5070551411558313,True,True,True,True
-8.314044952392578,-6.918306350708008,1.5,-57.1672151980215,-57.511720915804645,-0.344505717783143,True,True,True,True
-7.314044952392578,-6.918306350708008,1.5,-55.80399823787416,-56.00720845994096,-0.20321022206680084,True,True,True,True
-6.314044952392578,-6.918306350708008,1.5,-55.81434955259563,-56.05137134429772,-0.23702179170209092,True,True,True,True
-5.314044952392578,-6.918306350708008,1.5,-57.027075250578854,-57.20643907239635,-0.17936382181749622,True,True,True,True
-4.314044952392578,-6.918306350708008,1.5,-58.68323832456059,-59.50962589215663,-0.8263875675960364,True,True,True,True
-3.314044952392578,-6.918306350708008,1.5,-59.80839214588792,-61.52762985484229,-1.719237708954367,True,True,True,True
-2.314044952392578,-6.918306350708008,1.5,-61.00059305095388,-62.84970061157172,-1.8491075606178384,True,True,True,True
-1.3140449523925781,-6.918306350708008,1.5,-60.57132873000615,-62.25305603519767,-1.6817273051915222,True,True,True,True
-0.3140449523925781,-6.918306350708008,1.5,-60.331257836948716,-62.55149331683257,-2.220235479883854,True,True,True,True
-14.314044952392578,-5.918306350708008,1.5,-60.43690194731413,-60.66545042858279,-0.22854848126866045,True,True,True,True
-13.314044952392578,-5.918306350708008,1.5,-60.474435596132,-60.87444029725865,-0.40000470112665454,True,True,True,True
-12.314044952392578,-5.918306350708008,1.5,-60.89330574094343,-61.31248826493768,-0.4191825239942446,True,True,True,True
-11.314044952392578,-5.918306350708008,1.5,-61.01626446500147,-61.32860334115471,-0.3123388761532411,True,True,True,True
-10.314044952392578,-5.918306350708008,1.5,-59.22177813039937,-59.654855662850814,-0.433077532451442,True,True,True,True
-9.314044952392578,-5.918306350708008,1.5,-57.2466536970282,-57.694648326622115,-0.44799462959391434,True,True,True,True
-8.314044952392578,-5.918306350708008,1.5,-54.71259011891049,-54.91689478370525,-0.20430466479476195,True,True,True,True
-7.314044952392578,-5.918306350708008,1.5,-53.309978542245126,-53.43977765705807,-0.12979911481294693,True,True,True,True
-6.314044952392578,-5.918306350708008,1.5,-53.20289842850996,-53.337269092525226,-0.13437066401526465,True,True,True,True
-5.314044952392578,-5.918306350708008,1.5,-54.764669961421745,-54.87227857507145,-0.10760861364970253,True,True,True,True
-4.314044952392578,-5.918306350708008,1.5,-57.410587092717826,-62.06023500958522,-4.649647916867394,True,True,True,True
-3.314044952392578,-5.918306350708008,1.5,-59.4730741473824,-62.68539051368627,-3.212316366303874,True,True,True,True
-2.314044952392578,-5.918306350708008,1.5,-60.25116657715887,-62.10238446849055,-1.8512178913316788,True,True,True,True
-1.3140449523925781,-5.918306350708008,1.5,-60.79370260657435,-63.34068237840807,-2.546979771833719,True,True,True,True
-0.3140449523925781,-5.918306350708008,1.5,-60.367809893271925,-62.863940691631555,-2.49613079835963,True,True,True,True
-14.314044952392578,-4.918306350708008,1.5,-59.57936412262878,-59.87774518417883,-0.29838106155004596,True,True,True,True
-13.314044952392578,-4.918306350708008,1.5,-60.74436998193473,-61.121932292096176,-0.37756231016144426,True,True,True,True
-12.314044952392578,-4.918306350708008,1.5,-60.38476750567649,-60.737536792959176,-0.3527692872826833,True,True,True,True
-11.314044952392578,-4.918306350708008,1.5,-60.64738164082502,-61.07781857996028,-0.43043693913526226,True,True,True,True
-10.314044952392578,-4.918306350708008,1.5,-58.90610192413449,-59.277456232207385,-0.3713543080728954,True,True,True,True
-9.314044952392578,-4.918306350708008,1.5,-56.448826778021406,-56.65968710894386,-0.2108603309224506,True,True,True,True
-8.314044952392578,-4.918306350708008,1.5,-53.61562555993846,-53.752493265695875,-0.13686770575741747,True,True,True,True
-7.314044952392578,-4.918306350708008,1.5,-51.60673678039963,-51.69608124526911,-0.08934446486948389,True,True,True,True
-6.314044952392578,-4.918306350708008,1.5,-20.772162226092576,-20.772245332262223,-8.310616964735118e-05,True,True,True,True
-5.314044952392578,-4.918306350708008,1.5,-53.291869677130855,-53.50041698394125,-0.20854730681039513,True,True,True,True
-4.314044952392578,-4.918306350708008,1.5,-56.31629456779681,-64.74257914760554,-8.42628457980873,True,True,True,True
-3.314044952392578,-4.918306350708008,1.5,-59.17076102079604,-63.28089115927261,-4.1101301384765705,True,True,True,True
-2.314044952392578,-4.918306350708008,1.5,-60.09830198050548,-62.68465708445778,-2.5863551039523003,True,True,True,True
-1.3140449523925781,-4.918306350708008,1.5,-60.41440112154663,-62.63897410379087,-2.22457298224424,True,True,True,True
-0.3140449523925781,-4.918306350708008,1.5,-60.287913630006315,-62.61478096916563,-2.326867339159314,True,True,True,True
-14.314044952392578,-3.918306350708008,1.5,-59.53737283387948,-59.89799199825089,-0.36061916437140695,True,True,True,True
-13.314044952392578,-3.918306350708008,1.5,-60.83155771326962,-61.24927595879558,-0.41771824552596115,True,True,True,True
-12.314044952392578,-3.918306350708008,1.5,-59.965263785276576,-60.25090737306648,-0.28564358778990595,True,True,True,True
-11.314044952392578,-3.918306350708008,1.5,-60.70194713259029,-61.353545176603205,-0.6515980440129141,True,True,True,True
-10.314044952392578,-3.918306350708008,1.5,-59.29211476546368,-59.58271898251968,-0.2906042170559999,True,True,True,True
-9.314044952392578,-3.918306350708008,1.5,-56.7701447719199,-57.06684906523585,-0.2967042933159476,True,True,True,True
-8.314044952392578,-3.918306350708008,1.5,-53.774288638785734,-53.861680568090264,-0.08739192930453044,True,True,True,True
-7.314044952392578,-3.918306350708008,1.5,-51.74041050865773,-51.83280042515426,-0.09238991649652917,True,True,True,True
-6.314044952392578,-3.918306350708008,1.5,-51.72044379157816,-51.823196297262925,-0.10275250568476224,True,True,True,True
-5.314044952392578,-3.918306350708008,1.5,-53.451406860834034,-53.62097863939776,-0.16957177856372851,True,True,True,True
-4.314044952392578,-3.918306350708008,1.5,-56.399432558550195,-64.02325460046458,-7.623822041914387,True,True,True,True
-3.314044952392578,-3.918306350708008,1.5,-58.93440824228422,-62.902620743187185,-3.9682125009029647,True,True,True,True
-2.314044952392578,-3.918306350708008,1.5,-60.43809455321937,-62.7971091867936,-2.359014633574226,True,True,True,True
-1.3140449523925781,-3.918306350708008,1.5,-60.430794159123174,-62.866177763905725,-2.435383604782551,True,True,True,True
-0.3140449523925781,-3.918306350708008,1.5,-59.52679468663934,-61.87371733624656,-2.3469226496072153,True,True,True,True
-14.314044952392578,-2.918306350708008,1.5,-59.53820689958363,-60.26171341763423,-0.7235065180506055,True,True,True,True
-13.314044952392578,-2.918306350708008,1.5,-59.96446352195069,-60.494775593923364,-0.5303120719726735,True,True,True,True
-12.314044952392578,-2.918306350708008,1.5,-60.49816735267264,-60.89037282648911,-0.39220547381647464,True,True,True,True
-11.314044952392578,-2.918306350708008,1.5,-60.272322731369094,-60.67960237358096,-0.4072796422118685,True,True,True,True
-10.314044952392578,-2.918306350708008,1.5,-59.54849295937632,-59.99361773831835,-0.44512477894203073,True,True,True,True
-9.314044952392578,-2.918306350708008,1.5,-58.095142894891254,-58.358675486930736,-0.263532592039482,True,True,True,True
-8.314044952392578,-2.918306350708008,1.5,-55.302148804553674,-55.54777140987301,-0.24562260531933333,True,True,True,True
-7.314044952392578,-2.918306350708008,1.5,-53.7030306618502,-53.8597809590534,-0.1567502972032031,True,True,True,True
-6.314044952392578,-2.918306350708008,1.5,-53.56120063001062,-53.727238450421154,-0.16603782041053705,True,True,True,True
-5.314044952392578,-2.918306350708008,1.5,-54.329036501342316,-54.48651772857566,-0.15748122723334745,True,True,True,True
-4.314044952392578,-2.918306350708008,1.5,-57.39534461627106,-60.038435087067214,-2.643090470796153,True,True,True,True
-3.314044952392578,-2.918306350708008,1.5,-58.98591899250731,-61.382027138719906,-2.3961081462125975,True,True,True,True
-2.314044952392578,-2.918306350708008,1.5,-60.30427847181934,-62.73490448693184,-2.4306260151125016,True,True,True,True
-1.3140449523925781,-2.918306350708008,1.5,-60.38260232348213,-62.76526147742715,-2.3826591539450206,True,True,True,True
-0.3140449523925781,-2.918306350708008,1.5,-60.241105597875276,-62.95627463204209,-2.715169034166813,True,True,True,True
-14.314044952392578,-1.9183063507080078,1.5,-59.484041603000854,-59.775516056638295,-0.2914744536374414,True,True,True,True
-13.314044952392578,-1.9183063507080078,1.5,-59.24933418406289,-59.554017825928696,-0.30468364186580743,True,True,True,True
-12.314044952392578,-1.9183063507080078,1.5,-59.861874162384964,-60.243569243347146,-0.3816950809621815,True,True,True,True
-11.314044952392578,-1.9183063507080078,1.5,-60.17852748376529,-60.55027983910541,-0.37175235534011364,True,True,True,True
-10.314044952392578,-1.9183063507080078,1.5,-60.20383250006918,-60.66881692444498,-0.4649844243757997,True,True,True,True
-9.314044952392578,-1.9183063507080078,1.5,-58.62326036455932,-59.12457280999224,-0.5013124454329159,True,True,True,True
-8.314044952392578,-1.9183063507080078,1.5,-57.518176199708655,-58.004295561729215,-0.4861193620205597,True,True,True,True
-7.314044952392578,-1.9183063507080078,1.5,-56.561955482770955,-56.79702133173386,-0.23506584896290406,True,True,True,True
-6.314044952392578,-1.9183063507080078,1.5,-56.48938265093137,-56.7761459138238,-0.28676326289242837,True,True,True,True
-5.314044952392578,-1.9183063507080078,1.5,-56.80337050327924,-57.12021896250868,-0.3168484592294405,True,True,True,True
-4.314044952392578,-1.9183063507080078,1.5,-57.64643791855876,-58.57259160274729,-0.9261536841885274,True,True,True,True
-3.314044952392578,-1.9183063507080078,1.5,-59.37321008218099,-60.4659348804545,-1.0927247982735082,True,True,True,True
-2.314044952392578,-1.9183063507080078,1.5,-59.45083038080143,-60.80464681982,-1.3538164390185727,True,True,True,True
-1.3140449523925781,-1.9183063507080078,1.5,-60.21314435747331,-62.12176103093002,-1.9086166734567058,True,True,True,True
-0.3140449523925781,-1.9183063507080078,1.5,-59.3819541250555,-61.704179072402276,-2.3222249473467755,True,True,True,True
-14.314044952392578,-0.9183063507080078,1.5,-58.825800761135284,-59.003951928667,-0.17815116753171623,True,True,True,True
-13.314044952392578,-0.9183063507080078,1.5,-59.858353538340346,-60.08259291350403,-0.22423937516368397,True,True,True,True
-12.314044952392578,-0.9183063507080078,1.5,-59.778794647306185,-60.12095132142451,-0.3421566741183284,True,True,True,True
-11.314044952392578,-0.9183063507080078,1.5,-59.64975401756184,-60.130128178968214,-0.4803741614063739,True,True,True,True
-10.314044952392578,-0.9183063507080078,1.5,-59.78085359133159,-60.23662955918322,-0.4557759678516291,True,True,True,True
-9.314044952392578,-0.9183063507080078,1.5,-59.62343472848293,-60.110573055301856,-0.4871383268189291,True,True,True,True
-8.314044952392578,-0.9183063507080078,1.5,-59.067575439185276,-59.90614670130032,-0.8385712621150461,True,True,True,True
-7.314044952392578,-0.9183063507080078,1.5,-58.52318499338631,-59.27312977969681,-0.7499447863105004,True,True,True,True
-6.314044952392578,-0.9183063507080078,1.5,-58.613752867525264,-59.2485699831915,-0.6348171156662374,True,True,True,True
-5.314044952392578,-0.9183063507080078,1.5,-59.29158164559479,-59.788119551764964,-0.49653790617017535,True,True,True,True
-4.314044952392578,-0.9183063507080078,1.5,-59.69941230629815,-60.9086001665233,-1.2091878602251498,True,True,True,True
-3.314044952392578,-0.9183063507080078,1.5,-58.2533506469302,-59.18579382518084,-0.9324431782506366,True,True,True,True
-2.314044952392578,-0.9183063507080078,1.5,-58.017768664062885,-58.85626776066771,-0.8384990966048278,True,True,True,True
-1.3140449523925781,-0.9183063507080078,1.5,-57.64529255053002,-58.6542720317548,-1.0089794812247774,True,True,True,True
-0.3140449523925781,-0.9183063507080078,1.5,-59.473006362909786,-61.77201955143157,-2.2990131885217835,True,True,True,True
-14.314044952392578,0.08169364929199219,1.5,,,,False,False,False,False
-13.314044952392578,0.08169364929199219,1.5,,,,False,False,False,False
-12.314044952392578,0.08169364929199219,1.5,,,,False,False,False,False
-11.314044952392578,0.08169364929199219,1.5,,,,False,False,False,False
-10.314044952392578,0.08169364929199219,1.5,,,,False,False,False,False
-9.314044952392578,0.08169364929199219,1.5,,,,False,False,False,False
-8.314044952392578,0.08169364929199219,1.5,,,,False,False,False,False
-7.314044952392578,0.08169364929199219,1.5,,,,False,False,False,False
-6.314044952392578,0.08169364929199219,1.5,,,,False,False,False,False
-5.314044952392578,0.08169364929199219,1.5,,,,False,False,False,False
-4.314044952392578,0.08169364929199219,1.5,,,,False,False,False,False
-3.314044952392578,0.08169364929199219,1.5,,,,False,False,False,False
-2.314044952392578,0.08169364929199219,1.5,,,,False,False,False,False
-1.3140449523925781,0.08169364929199219,1.5,,,,False,False,False,False
-0.3140449523925781,0.08169364929199219,1.5,-58.3129204699651,-59.68761735613242,-1.374696886167321,True,True,True,True
